Sample_ID,Timestamp,Temperature_C,Light_Intensity
1,2026/5/29 9:17:13,24.0,250
2,2026/5/29 9:17:14,24.0,250
3,2026/5/29 9:17:15,24.0,250
4,2026/5/29 9:17:16,24.0,250
5,2026/5/29 9:17:17,24.0,250
6,2026/5/29 9:17:18,24.0,250
7,2026/5/29 9:17:19,24.0,250
8,2026/5/29 9:17:46,24.0,250
9,2026/5/29 9:17:47,24.0,250
10,2026/5/29 9:17:48,24.0,250
11,2026/5/29 9:17:49,24.0,250
12,2026/5/29 9:17:50,24.0,250
13,2026/5/29 9:17:51,24.0,250
14,2026/5/29 9:17:52,24.0,250
15,2026/5/29 9:17:53,24.0,250
16,2026/5/29 9:17:54,24.0,250
17,2026/5/29 9:17:55,24.0,250
18,2026/5/29 9:17:56,24.0,250
19,2026/5/29 9:17:57,24.0,250
20,2026/5/29 9:17:58,24.0,250
21,2026/5/29 9:17:59,24.0,250
22,2026/5/29 9:18:0,24.0,250
23,2026/5/29 9:18:1,24.0,250
24,2026/5/29 9:18:2,24.0,250
25,2026/5/29 9:18:3,24.0,250
26,2026/5/29 9:18:4,24.0,250
27,2026/5/29 9:18:5,24.0,250
28,2026/5/29 9:18:6,24.0,250
29,2026/5/29 9:18:7,24.0,250
30,2026/5/29 9:18:8,24.0,250
31,2026/5/29 9:18:9,24.0,250
32,2026/5/29 9:18:10,24.0,250
33,2026/5/29 9:18:11,24.0,250
34,2026/5/29 9:18:12,24.0,250
35,2026/5/29 9:18:13,24.0,250
36,2026/5/29 9:18:14,24.0,250
37,2026/5/29 9:18:15,24.0,250
38,2026/5/29 9:18:16,24.0,250
39,2026/5/29 9:18:17,24.0,250
40,2026/5/29 9:18:18,24.0,250
41,2026/5/29 9:18:19,24.0,250
42,2026/5/29 9:18:20,24.0,250
43,2026/5/29 9:18:21,24.0,250
44,2026/5/29 9:18:22,24.0,250
45,2026/5/29 9:18:23,24.0,250
46,2026/5/29 9:18:24,24.0,250
47,2026/5/29 9:18:25,24.0,250
48,2026/5/29 9:18:26,24.0,250
49,2026/5/29 9:18:27,24.0,250
50,2026/5/29 9:18:28,24.0,250
51,2026/5/29 9:18:29,24.0,250
52,2026/5/29 9:18:30,24.0,250
53,2026/5/29 9:18:31,24.0,250
54,2026/5/29 9:18:32,24.0,250
55,2026/5/29 9:18:33,24.0,250
56,2026/5/29 9:18:34,24.0,250
57,2026/5/29 9:18:35,24.0,250
58,2026/5/29 9:18:36,24.0,250
59,2026/5/29 9:18:37,24.0,250
60,2026/5/29 9:18:38,24.0,250
61,2026/5/29 9:18:39,24.0,250
62,2026/5/29 9:18:40,24.0,250
63,2026/5/29 9:18:41,24.0,250
64,2026/5/29 9:18:42,24.0,250
65,2026/5/29 9:18:43,24.0,250
66,2026/5/29 9:18:44,24.0,250
67,2026/5/29 9:18:45,24.0,250
68,2026/5/29 9:18:46,24.0,250
69,2026/5/29 9:18:47,24.0,250
70,2026/5/29 9:18:48,24.0,250
71,2026/5/29 9:18:49,24.0,250
72,2026/5/29 9:18:50,24.0,250
73,2026/5/29 9:18:51,24.0,250
74,2026/5/29 9:18:52,24.0,250
75,2026/5/29 9:18:53,24.0,250
76,2026/5/29 9:18:54,24.0,250
77,2026/5/29 9:18:55,24.0,250
78,2026/5/29 9:18:56,24.0,250
79,2026/5/29 9:18:57,24.0,250
80,2026/5/29 9:18:58,24.0,250
81,2026/5/29 9:18:59,24.0,250
82,2026/5/29 9:19:0,24.0,250
83,2026/5/29 9:19:1,24.0,250
84,2026/5/29 9:19:2,24.0,250
85,2026/5/29 9:19:3,24.0,250
86,2026/5/29 9:19:4,24.0,250
87,2026/5/29 9:19:5,24.0,250
88,2026/5/29 9:19:6,24.0,250
89,2026/5/29 9:19:7,24.0,250
90,2026/5/29 9:19:8,24.0,250
91,2026/5/29 9:19:9,24.0,250
92,2026/5/29 9:19:10,24.0,250
93,2026/5/29 9:19:11,24.0,250
94,2026/5/29 9:19:12,24.0,250
95,2026/5/29 9:19:13,24.0,250
96,2026/5/29 9:19:14,24.0,250
97,2026/5/29 9:19:16,24.0,250
98,2026/5/29 9:19:17,24.0,250
99,2026/5/29 9:19:18,24.0,250
100,2026/5/29 9:19:19,24.0,250
101,2026/5/29 9:19:20,24.0,250
102,2026/5/29 9:19:21,24.0,250
103,2026/5/29 9:19:22,24.0,250
104,2026/5/29 9:19:23,24.0,250
105,2026/5/29 9:19:24,24.0,250
--- END OF CSV FILE ---
SUCCESS: Collected 100+ samples.
